"","geneName","name","intensity","time"
"115","ydcU","JH01_B01",48.2280497207056,0
"116","ydcU","JH01_B02",45.555683386785,30
"117","ydcU","JH01_B03",94.8157164614022,60
"118","ydcU","JH01_B04",987.197291549661,90
"119","ydcU","JH01_B05",1614.63021722634,120
"120","ydcU","JH01_B06",1625.97872160866,150
"121","ydcU","JH01_C01",32.0131841561235,0
"122","ydcU","JH01_C02",121.747876961486,30
"123","ydcU","JH01_C03",75.4899584413207,60
"124","ydcU","JH01_C04",1391.17746297908,90
"125","ydcU","JH01_C05",1804.51469603873,120
"126","ydcU","JH01_C06",1757.11789789403,150
"127","ydcV","JH01_A01",11.2204443080634,0
"128","ydcV","JH01_A02",23.3715592299477,30
"129","ydcV","JH01_A03",49.1286359486779,60
"130","ydcV","JH01_A04",95.7845520336199,90
"131","ydcV","JH01_A05",1263.47029009462,120
"132","ydcV","JH01_A06",1948.2351855334,150
"133","ydcV","JH01_B01",15.2299104381176,0
"134","ydcV","JH01_B02",28.4723021167406,30
"135","ydcV","JH01_B03",55.5018828066744,60
"136","ydcV","JH01_B04",756.989519780728,90
"137","ydcV","JH01_B05",1691.00216285786,120
"138","ydcV","JH01_B06",1821.0603734032,150
"139","ydcV","JH01_C01",5.820578937477,0
"140","ydcV","JH01_C02",15.0735466714221,30
"141","ydcV","JH01_C03",41.0829705803106,60
"142","ydcV","JH01_C04",1270.38057762634,90
"143","ydcV","JH01_C05",1733.12396311464,120
"144","ydcV","JH01_C06",1636.0089447111,150
"145","patD","JH01_A01",51.1153574034001,0
"146","patD","JH01_A02",91.6884246713332,30
"147","patD","JH01_A03",140.06887696006,60
"148","patD","JH01_A04",288.406233595735,90
"149","patD","JH01_A05",4134.86210630048,120
"150","patD","JH01_A06",5800.2182964581,150
"151","patD","JH01_B01",59.2274294815683,0
"152","patD","JH01_B02",74.0279855035256,30
"153","patD","JH01_B03",126.035525540157,60
"154","patD","JH01_B04",1601.08468293348,90
"155","patD","JH01_B05",6635.44920961838,120
"156","patD","JH01_B06",6955.82421742658,150
"157","patD","JH01_C01",68.3918025153547,0
"158","patD","JH01_C02",142.618941583455,30
"159","patD","JH01_C03",212.090835620853,60
"160","patD","JH01_C04",3372.24638276405,90
"161","patD","JH01_C05",4883.42992236071,120
"162","patD","JH01_C06",5918.42152925946,150
"163","gadC","JH01_A01",88.5168384302782,0
"164","gadC","JH01_A02",97.0818614167057,30
"165","gadC","JH01_A03",86.7590805051121,60
"166","gadC","JH01_A04",98.9422845182447,90
"167","gadC","JH01_A05",7975.92757011618,120
"168","gadC","JH01_A06",60884.6506130985,150
"169","gadC","JH01_B01",85.4567196805486,0
"170","gadC","JH01_B02",47.4538368612344,30
